name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Lirim Plasma Launcher,lirim,1,,5000,1500,,150,400,7,30,8,24,0.1,,ENERGY,0,,0,6,6,0.45,0,0,0,0,,800,100,2.4,50,,,"MISSILE_SPREAD, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, rare_bp, hist1t, merc, ind",,ARnD,,Disruption,Very Fast,Excellent,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupê Autoblaster,lupe,1,,2000,1000,,50,,15,15,8,,,,KINETIC,35,,0,0.27,1,,2.5,5,1,5,,900,,,25,,,,"kinetic14, lowtech_bp, merc, ind",,ARnD,,Anti-Shield,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulupê Assault Blaster,ulupe,1,,4000,900,,120,,10,15,12,,,,ENERGY,100,,0,0.6,1,,0,15,2,5,,800,,,50,,,,"he18, lowtech_bp, midline_bp, merc, ind",,ARnD,,General,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasuan Cannon,tasuan,2,0.4,6000,900,,500,,50,15,25,,,,ENERGY,500,,0,2.5,2,0.75,0,10,2,3.33,,1100,,,100,,,"STRIKE, USE_VS_FRIGATES","energy18, he17, kinetic17, remnant, rare_bp, hist1t, merc, ind",,ARnD,,General,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calâth Interdictor,calath,3,,7500,1200,,1000,200,75,10,2,1,,,FRAGMENTATION,0,,0,5,1,,0,0,0,0,,400,100,3.5,500,,,STRIKE,"strike8, rocket3, missile_bp, merc, ind",,ARnD,,Torpedo,Fast,None,,,,,,,TRUE,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fae_Z_threat,0,,,,,5000,,25,,10,,,,ENERGY,0,,,1,1,,,,,,,0,0,9999,1000,,,SYSTEM,,,Unknown,,,,,,,,,,,,38.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Arcus Autocannon (Fighter),ii_arcus_f,2,,400,700,,100,,5,30,6,,,,KINETIC,75,,0,1,1,,0,10,2,10,,1200,,,40,,,SYSTEM,,,Imperium,,Anti Shield,,,,,,,,,,
#Sledge Gun (Fighter),ii_sledgegun_f,2,,,1000,,65,,20,15,,,,,HIGH_EXPLOSIVE,80,,0,1,1,,0,5,1,5,,1000,,,50,,,"SYSTEM, FIRE_WHEN_INEFFICIENT",,,Imperium,,Suppression,,,,,Hits on hull or armor have a %s chance to deal %s extra high explosive damage.,50% | 30,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
